,hour,All Other Offenses,Motor Vehicle Theft,Other Assaults,Thefts,Vandalism/Criminal Mischief
0,0.0,561,221,681,322,315
1,1.0,400,164,461,216,250
2,2.0,200,147,326,177,219
3,3.0,137,131,244,123,209
4,4.0,101,179,191,123,149
5,5.0,96,169,141,170,161
6,6.0,183,140,128,156,129
7,7.0,159,506,276,537,328
8,8.0,281,960,624,1143,628
9,9.0,551,822,876,1395,600
10,10.0,519,701,991,1622,567
11,11.0,463,688,1033,1833,541
12,12.0,436,583,1146,2029,568
13,13.0,504,472,1057,1971,461
14,14.0,392,296,886,1484,327
15,15.0,365,423,1094,1875,454
16,16.0,558,615,1343,2403,627
17,17.0,546,501,1261,2102,598
18,18.0,481,386,1147,1878,458
19,19.0,422,372,1006,1528,433
20,20.0,363,327,881,1356,392
21,21.0,432,237,763,879,340
22,22.0,769,144,535,379,209
23,23.0,496,227,549,408,325
